Old_Video_Name,New_Video_Name
cam_7_S_video_20210310_142405.h264.avi,Ratnayake2022_V3
cam_4_N_video_20210317_120802.h264.avi,Ratnayake2022_V10
cam_2_S_video_20210308_112402.h264.avi,Ratnayake2022_V6
cam_4_N_video_20210317_114802.h264.avi,Ratnayake2022_V9
cam_4_N_video_20210309_132604.h264.avi,Ratnayake2022_V1
cam_3_N_video_20210317_142705.h264.avi,Ratnayake2022_V4
cam_8_N_video_20210310_133844.h264.avi,Ratnayake2022_V2
cam_1_N_video_20210315_132804.h264.avi,Ratnayake2022_V8
cam_1_S_video_20210317_123004.h264.avi,Ratnayake2022_V5
cam_3_S_video_20210312_123203.h264.avi,Ratnayake2022_V7
00026.avi,NestMonitoring_V1
00024.avi,NestMonitoring_V2
00020.avi,NestMonitoring_V3
mee313618-sup-0003-videos2.mp4,PICT_V2
mee313618-sup-0004-videos3.mp4,PICT_V3
mee313618-sup-0002-videos1.mp4,PICT_V1
Sup-Mat-1-reduced-video.mp4,vanderVoort2022_V1
bee_test_3.mp4,Ratnayake2021_V3
bee_test_2.mp4,Ratnayake2021_V2
bee_test_1.mp4,Ratnayake2021_V1
bee_test_5.mp4,Ratnayake2021_V5
bee_test_4.mp4,Ratnayake2021_V4
bee_test_6.mp4,Ratnayake2021_V6
bee_test_7.mp4,Ratnayake2021_V7
08140020.avi,Naqvi2022_V1
08040046.avi,Naqvi2022_V2
08210024.avi,Naqvi2022_V3